t,P_p_bar
5.431169411167502403e-04,5.175587951594063634e+04
5.444127018563449383e-04,5.132414169976903213e+04
5.457121878862380981e-04,5.089297860493126791e+04
5.470148171298205853e-04,5.046261540801078081e+04
5.483206477947533131e-04,5.003310104600809427e+04
5.496293888427317142e-04,4.960455683873528324e+04
5.509421462193131447e-04,4.917671484450740536e+04
5.522586870938539505e-04,5.271809295533628028e+04
5.535788950510323048e-04,5.272504630184953567e+04
5.549024790525436401e-04,5.230007810258158133e+04
5.562292644754052162e-04,5.358605097197572468e+04
5.575593095272779465e-04,5.316377738992722880e+04
5.588926724158227444e-04,5.274177708643448568e+04
5.602293531410396099e-04,5.232021369504453469e+04
5.615704576484858990e-04,5.400796571202436462e+04
5.629157531075179577e-04,5.358904083987083868e+04
5.642650648951530457e-04,5.317007381544078089e+04
5.656183930113911629e-04,5.275125546360533917e+04
5.669755628332495689e-04,5.233266959073828184e+04
5.683365161530673504e-04,5.191440042376446218e+04
5.697012529708445072e-04,5.149657189528729214e+04
5.710697150789201260e-04,5.557099773319644737e+04
5.724419606849551201e-04,5.516102649290807312e+04
5.738180479966104031e-04,5.475094912529632711e+04
5.751979770138859749e-04,5.434068245144622051e+04
5.765817477367818356e-04,5.393038919690791226e+04
5.779694765806198120e-04,5.352021146911908727e+04
5.793612217530608177e-04,5.509070788472857384e+04
5.807570414617657661e-04,5.468478373794732761e+04
5.821571103297173977e-04,5.427859264135880949e+04
5.835613701492547989e-04,5.387230741501259035e+04
5.849699373356997967e-04,5.346589654437835998e+04
5.863829283043742180e-04,5.305943961145017965e+04
5.878004594705998898e-04,5.265310939579996921e+04
5.892225890420377254e-04,5.224690727630927722e+04
5.906493752263486385e-04,5.184096021977575583e+04
5.920809926465153694e-04,5.143526927069323574e+04
5.935174995101988316e-04,5.102983102248083014e+04
5.949588958173990250e-04,5.062466819195175049e+04
5.964052979834377766e-04,5.021981760828696861e+04
5.978567642159759998e-04,4.981541171850056708e+04
5.993134109303355217e-04,4.941156921700014209e+04
6.007753545418381691e-04,4.900838057823650888e+04
