t,R_s
5.431169411167502403e-04,8.478793479167074931e-01
5.444127018563449383e-04,8.488512201320715933e-01
5.457121878862380981e-04,8.497668457614313553e-01
5.470148171298205853e-04,8.507260726112368943e-01
5.483206477947533131e-04,8.516908634218881557e-01
5.496293888427317142e-04,8.526075006804925138e-01
5.509421462193131447e-04,8.535190797928736695e-01
5.522586870938539505e-04,8.544843764181473400e-01
5.535788950510323048e-04,8.554086008960868348e-01
5.549024790525436401e-04,8.563759207798498085e-01
5.562292644754052162e-04,8.572347940085830453e-01
5.575593095272779465e-04,8.581408091601184784e-01
5.588926724158227444e-04,8.590392370923187748e-01
5.602293531410396099e-04,8.599321010636733487e-01
5.615704576484858990e-04,8.608214243326712811e-01
5.629157531075179577e-04,8.617503023051364952e-01
5.642650648951530457e-04,8.626239453208421892e-01
5.656183930113911629e-04,8.635422011862379232e-01
5.669755628332495689e-04,8.644670326417245310e-01
5.683365161530673504e-04,8.654014745750352455e-01
5.697012529708445072e-04,8.663485618739046323e-01
5.710697150789201260e-04,8.672545770254398434e-01
5.724419606849551201e-04,8.682036875827987554e-01
5.738180479966104031e-04,8.691011038857542337e-01
5.751979770138859749e-04,8.700466737407566153e-01
5.765817477367818356e-04,8.709866796349132745e-01
5.779694765806198120e-04,8.718830843086240456e-01
5.793612217530608177e-04,8.727946634210052013e-01
5.807570414617657661e-04,8.736256156825853436e-01
5.821571103297173977e-04,8.745148377886589053e-01
5.835613701492547989e-04,8.754633413684708154e-01
5.849699373356997967e-04,8.764320775331764235e-01
5.863829283043742180e-04,8.773252449933042207e-01
5.878004594705998898e-04,8.782817404441491949e-01
5.892225890420377254e-04,8.792458231143291947e-01
5.906493752263486385e-04,8.802185046330889273e-01
5.920809926465153694e-04,8.812007966296732109e-01
5.935174995101988316e-04,8.821937107333266415e-01
5.949588958173990250e-04,8.831982585732935931e-01
5.964052979834377766e-04,8.842154517788193280e-01
5.978567642159759998e-04,8.851895495785215839e-01
5.993134109303355217e-04,8.862183765203612840e-01
6.007753545418381691e-04,8.872618720862485153e-01
6.022426532581448555e-04,8.883053676521358577e-01
6.037154234945774078e-04,8.893498748472679072e-01
6.051938398741185665e-04,8.903553331535554172e-01
6.066778441891074181e-04,8.913628147183321193e-01
6.081676110625267029e-04,8.923723195415981246e-01
6.096631987020373344e-04,8.934249197706876089e-01
6.111646071076393127e-04,8.944238024868845782e-01
6.126693333499133587e-04,8.954667922381496226e-01
6.141774356365203857e-04,8.964981482531008128e-01
6.156888557597994804e-04,8.974778100136489023e-01
6.172037683427333832e-04,8.984057775197938911e-01
6.187222898006439209e-04,8.994199358375855047e-01
6.202443037182092667e-04,9.003667196476813350e-01
6.217696354724466801e-04,9.012872010974157799e-01
6.232984014786779881e-04,9.022381325874148095e-01
6.248306017369031906e-04,9.031794535995893991e-01
6.263662362471222878e-04,9.041689281638108922e-01
6.279055378399789333e-04,9.051107549906078908e-01
6.294483901001513004e-04,9.060470178565592780e-01
6.309950258582830429e-04,9.069376562435754741e-01
6.325455033220350742e-04,9.079372471002435940e-01
6.340999389067292213e-04,9.088932367364662701e-01
6.356583326123654842e-04,9.098477089288218300e-01
6.372206262312829494e-04,9.107606031592210272e-01
6.387869361788034439e-04,9.116886718282903868e-01
6.403572624549269676e-04,9.126319149360297978e-01
6.419316632673144341e-04,9.135903324824398153e-01
6.435101968236267567e-04,9.145639244675196622e-01
6.450928049162030220e-04,9.155526908912697825e-01
6.466794875450432301e-04,9.165566317536901764e-01
6.482702447101473808e-04,9.175346749074466679e-01
6.498651346191763878e-04,9.185268808706288368e-01
6.514640990644693375e-04,9.195733101613257077e-01
6.530672544613480568e-04,9.206328906322035488e-01
6.546746008098125458e-04,9.216645501359282955e-01
6.562860216945409775e-04,9.227651015912153865e-01
6.579016917385160923e-04,9.238210401968123264e-01
6.595214945264160633e-04,9.248881067241008225e-01
6.611454882659018040e-04,9.259652895438359455e-01
