t,R_c
5.098836263641715050e-04,7.573029211684674245e-01
5.110591882839798927e-04,7.573029211684674245e-01
5.122385337017476559e-04,7.573029211684674245e-01
5.134217208251357079e-04,7.573029211684674245e-01
5.146087496541440487e-04,7.573029211684674245e-01
5.157996201887726784e-04,7.573029211684674245e-01
5.169944488443434238e-04,7.573029211684674245e-01
5.181932938285171986e-04,7.573029211684674245e-01
5.193963297642767429e-04,7.573029211684674245e-01
5.206036730669438839e-04,7.573029211684674245e-01
5.218153237365186214e-04,7.573029211684674245e-01
5.230313981883227825e-04,7.573029211684674245e-01
5.242518964223563671e-04,7.573029211684674245e-01
5.254768184386193752e-04,7.573029211684674245e-01
5.267062224447727203e-04,7.573029211684674245e-01
5.279401666484773159e-04,7.573029211684674245e-01
5.291786510497331619e-04,7.573029211684674245e-01
5.304217920638620853e-04,7.573029211684674245e-01
5.316695896908640862e-04,7.703081232492997588e-01
5.329220439307391644e-04,7.753101240496198532e-01
5.341793294064700603e-04,7.753101240496198532e-01
5.354413879103958607e-04,7.753101240496198532e-01
5.367082776501774788e-04,7.753101240496198532e-01
5.379801150411367416e-04,7.753101240496198532e-01
5.392569582909345627e-04,7.753101240496198532e-01
5.405388656072318554e-04,7.753101240496198532e-01
5.418255459517240524e-04,7.753101240496198532e-01
5.431169411167502403e-04,7.753101240496198532e-01
5.444127018563449383e-04,7.753101240496198532e-01
5.457121878862380981e-04,7.753101240496198532e-01
5.470148171298205853e-04,7.753101240496198532e-01
5.483206477947533131e-04,7.753101240496198532e-01
5.496293888427317142e-04,7.753101240496198532e-01
5.509421462193131447e-04,7.753101240496198532e-01
5.522586870938539505e-04,7.843137254901960675e-01
5.535788950510323048e-04,7.853141256502601530e-01
5.549024790525436401e-04,7.853141256502601530e-01
5.562292644754052162e-04,7.893157262905162730e-01
5.575593095272779465e-04,7.893157262905162730e-01
5.588926724158227444e-04,7.893157262905162730e-01
5.602293531410396099e-04,7.893157262905162730e-01
5.615704576484858990e-04,7.943177270908363674e-01
5.629157531075179577e-04,7.943177270908363674e-01
5.642650648951530457e-04,7.943177270908363674e-01
5.656183930113911629e-04,7.943177270908363674e-01
5.669755628332495689e-04,7.943177270908363674e-01
5.683365161530673504e-04,7.943177270908363674e-01
5.697012529708445072e-04,7.943177270908363674e-01
5.710697150789201260e-04,8.053221288515406417e-01
5.724419606849551201e-04,8.053221288515406417e-01
5.738180479966104031e-04,8.053221288515406417e-01
5.751979770138859749e-04,8.053221288515406417e-01
5.765817477367818356e-04,8.053221288515406417e-01
5.779694765806198120e-04,8.053221288515406417e-01
5.793612217530608177e-04,8.103241296518607362e-01
5.807570414617657661e-04,8.103241296518607362e-01
5.821571103297173977e-04,8.103241296518607362e-01
5.835613701492547989e-04,8.103241296518607362e-01
5.849699373356997967e-04,8.103241296518607362e-01
5.863829283043742180e-04,8.103241296518607362e-01
5.878004594705998898e-04,8.103241296518607362e-01
5.892225890420377254e-04,8.103241296518607362e-01
5.906493752263486385e-04,8.103241296518607362e-01
5.920809926465153694e-04,8.103241296518607362e-01
5.935174995101988316e-04,8.103241296518607362e-01
5.949588958173990250e-04,8.103241296518607362e-01
5.964052979834377766e-04,8.103241296518607362e-01
5.978567642159759998e-04,8.103241296518607362e-01
5.993134109303355217e-04,8.103241296518607362e-01
6.007753545418381691e-04,8.103241296518607362e-01
